"gene_name","control1","control2","control3","control4","control5","control6","control7","control8","control9","control10","control11","control12","control13","control14","JIA1","JIA2","JIA3","JIA4","JIA5","JIA6","JIA7","JIA8","JIA9","JIA10","JIA11","JIA12","JIA13","JIA14","JIA15","JIA16","JIA17","JIA18","JIA19","JIA20","JIA21","JIA22","JIA23","JIA24","JIA25","JIA26","JIA27","JIA28","JIA29","JIA30","JIA31","JIA32","JIA33","JIA34","JIA35","JIA36","JIA37","JIA38","JIA39","JIA40","JIA41","JIA42","JIA43","JIA44","JIA45","JIA46","JIA47"
"MSX1",-1.01548113421143,-0.845768302915641,-0.657200879482236,-0.332983215459318,-0.766088579148705,-0.471166050272248,-0.844365349917256,-0.546270591117298,-0.859923550120785,-0.626979887854043,-0.753471503859325,-0.987459025456741,-0.712804498741917,-0.21419434302538,-0.941494706989395,-0.538713747149401,-1.11723668739402,-0.614424207392645,-0.599314882560845,-0.633441001990468,-0.834258744064265,-0.750211717734782,-0.636831918028207,-0.571952577849828,-0.473281343804992,-0.542692130691047,-0.62900076552282,-0.613786266167593,-0.620235487205117,-0.634829043015023,-0.502945238084365,-0.748434023809363,-0.518015004409793,-0.793184162227968,-0.334777816851676,-0.760235829895578,-0.526147250817997,-0.789949144347984,-0.55032665656704,-0.579316093627162,-0.995972793774946,-0.424098072782228,-0.851022714557052,-0.478623863463434,-0.830369143184368,-0.543623398328327,-0.767344711366546,-0.804556977443992,-0.750336263342049,-0.533030719885598,-0.822930604386213,-0.833088664918617,-0.610910885954167,-0.747323480171496,-0.790689620754343,-0.430606460246776,-0.296381130974551,-0.422686451210609,-0.692567398076508,-0.797334837938886,-0.499239840578372
"MSX2",-1.56373917186383,-1.52461838232496,-1.27293793705856,-1.76922914887741,-1.88480445083301,-1.5727274315338,-2.14181649343845,-1.21693344989855,-1.95941094344231,-2.04450159581704,-2.25216337637593,-1.94977141451297,-1.70139619494514,-1.9509697004271,-1.59418116477555,-1.00247339968153,-1.90487665637546,-1.77954803975921,-1.70282968531506,-1.6557631842533,-2.28856527057971,-1.83193590431511,-1.75138401047139,-2.43584930367371,-1.80574410921618,-2.22852188206706,-1.9502203463498,-1.82722836751135,-1.92050525171828,-1.74579053371754,-1.8160030114269,-1.58822077320471,-1.05098796197167,-1.39460007581758,-1.81872685962467,-2.28092805166195,-1.79867133448715,-1.83601533357622,-1.81615557993248,-1.34695240793674,-1.65630745183314,-1.93345478416925,-1.8969787693823,-2.18180728364679,-1.75533899401385,-0.786741870534366,-1.04551973042685,-2.32558571860308,-2.21758623653286,-2.5521393303739,-1.86447556061673,-1.72625979844836,-2.20824610176044,-1.51305397117889,-1.69467081806548,-2.2259825099704,-1.6761850442444,-1.5888206503393,-1.64598613870028,-2.25140479056164,-1.6926164479071
"MTA1",1.28407787236945,1.19379252738226,1.52557452834914,1.21770392494821,1.16170435103393,1.30151278276811,1.2312505559415,1.42814465419496,0.855640964326914,0.686875319894761,0.725912779481952,0.753176892302367,0.630972421696011,0.892855980680222,1.62409534371404,1.89501021240215,1.93102225594907,1.64419760940267,1.80349224742619,1.92233395656777,1.6406250651306,1.25400519271453,1.57153786937877,1.45460448148601,1.00478407478029,1.48007437840075,1.26752109597687,1.8340328179518,1.42045608444967,1.59946919674108,1.42290806368656,1.77738301477066,1.67994795545775,1.04945656052984,1.26096394882514,1.50051315937656,1.15700321134899,1.08972725270081,1.57887363209112,1.01578891158424,1.34398349341468,1.40486810335956,0.656085401778578,1.43425872651497,1.62388286962672,1.32124460921397,0.732702210831326,1.59767595212704,0.872929775823287,0.748862221283876,0.877664032018999,0.793859860897148,1.09099784216062,1.17982082518094,0.95516283681,1.85293602888809,0.979061838949016,0.96544646777062,1.69152734246775,1.47743374808485,1.63739570006979
"MTA3",0.681593093653409,0.753150733500925,0.994271090097026,0.887599191211196,0.657176690871139,0.680182077232173,0.675006122029402,0.887762604120068,0.88570182883681,0.838208602761296,0.694594787242523,0.845547990570963,0.649639108117579,0.820915271055734,0.866724624186669,0.0128658390051719,0.432825279955334,0.554164295085639,0.938965419411427,0.661796105367776,0.519973530945474,0.692424820321453,0.124673472794509,0.863924982500261,0.552730891660898,1.21367857066122,0.748990068712413,0.32268702638866,0.495958785236356,0.72545534391882,0.78577214014291,0.326708309363179,0.88347590869144,0.05285317730213,0.892633405276674,0.226130847197333,0.414752327553417,0.727334183971063,0.577977194736383,0.882639006615276,0.346498665076214,0.840877187629392,0.660200069216915,0.95704978603839,0.426044550804916,0.732837925781674,0.741458024742356,0.137701384076822,0.667808571261439,0.175895632934177,0.852033211533374,0.43788685098934,0.623152691984317,0.463324338531213,0.87005720691174,0.914976967843323,0.894447892010418,0.789175130037212,0.877556930646223,0.688094079195522,0.350541157822289
"MTF1",0.781639724818553,0.357711392136912,0.518603076140888,0.28374442054146,0.508075412261323,0.499876711769813,0.496771839211098,0.74454683936407,0.33528336420889,0.363389365007862,0.508062445351259,0.309665467280593,0.131071210665708,0.501033973705299,0.504494014510524,1.14463777300047,1.15636370473818,1.02896181412486,0.859619310017277,0.914499381083591,0.717324443074452,0.2751515075231,0.638941791833523,0.690311779816235,0.566131671226297,0.48911159644458,0.840835062000622,0.943012463698153,0.79388499257319,0.546372446162093,0.499171561974797,1.02348559124,1.10612998214301,1.21711624478069,0.607243073759262,0.919727609347972,0.998946443321981,0.82524519376426,1.00583752546077,0.81455332706761,1.1978101042842,0.704515356795333,0.69360378240935,0.475243238132743,1.11574075474727,1.08540060508732,0.266801140626523,1.07339887516454,0.418558511146386,0.934639321195622,0.38547790896053,0.720484324994101,0.854789232923057,1.12193556502488,0.687388395871751,0.47946939535266,0.999458572157063,1.02610833236894,0.846926236839507,0.831033724807903,0.813944555667048
"MXD1",1.75408957462878,1.41980981050512,1.63643686127676,1.33664809051451,1.48871482503552,1.67889050944116,1.57113728282735,1.41984715559874,1.44667428709057,1.38257253048472,1.38810559289634,1.30060705799231,1.40449740197965,1.44085543496941,1.31207158916908,1.26044934096401,1.79340057036914,1.27868657021064,1.22455492247797,1.07176529317369,1.27979209325768,1.56685750713339,1.24991054204221,1.37174304606367,1.30423638607436,1.34302316968985,1.22605300127097,1.25896400858612,1.47684123884177,1.15210562967189,1.45582133083401,1.23427149234461,1.41814566695454,1.01420291426325,1.21389070929926,1.25572761834213,1.25699930384791,1.37164323356986,1.2800203676944,1.52086639388234,1.37652799783665,1.54775153216133,1.60415805320222,1.20629148458282,1.34436934626272,1.22891592047445,1.41493332363358,1.15189811327209,1.31114975713163,0.96812101426572,1.36641810703483,1.26538488293951,1.89799866499727,1.38499383959686,1.39136717589724,1.60294201150839,1.20306733942622,1.47963227512291,1.1391068831404,1.20445747527983,1.21160550407592
"MYBL1",0.215691799461428,0.204995210510527,0.0648412683859536,0.188336753254663,0.485137036565606,0.456784418132008,0.248280910962891,0.626841222662219,0.20465820760506,0.29759909081822,0.652261035842224,0.105629707273953,0.206023201025513,0.286969354950046,0.343831054739038,-0.245103261923109,0.559424182696396,0.0477504668627702,0.195361100251714,0.0512169503416901,0.436679877055223,0.0332585707112611,0.145454575229287,0.259300096458675,0.268216741163495,0.538694019147133,-0.118642402636797,0.0941936267949632,0.227693467563521,0.429152379752699,0.218334766463233,0.0310789014979281,0.28464294061772,-0.00353640917747905,0.208229611569092,0.167612437408265,0.175850119853312,0.269858576634672,-0.0101004897266558,0.217772823008291,0.237880319472327,0.245724169172518,0.22905475566391,0.523494901796397,0.137327225955877,0.496756282277757,0.404206867986877,0.303942873899382,0.0573835272814857,0.0522633269648566,0.466549425964663,0.588920170766603,0.0339786501671847,0.153668898896585,0.335926222062524,0.0315140604994316,0.211467779862618,0.320235664016926,-0.173139700117058,0.242640391814242,0.476477394633491
"MYBL2",1.40433602625627,1.29580379952267,1.19697225784168,1.38948674198908,1.60711420485686,1.30237642951254,1.22610471351011,1.41884705008536,1.46716182454618,1.20027129756286,1.51845986218229,1.10383451668676,1.21647658795267,1.39081120218552,1.73736690727525,1.1376431414986,1.56057515492161,1.37129537600784,1.56692473279718,1.31541907513144,1.34903059057263,1.2001240084887,1.33977997252913,1.09540391349174,1.33113609592232,1.30527854505195,1.11634719057539,1.14813565900088,1.226938233078,1.61501552906255,1.3295515028853,1.46416170128457,1.45217746994888,1.2926958101353,1.24865824276319,1.60095629572677,1.54160753009888,1.44104145168592,1.02391147713114,1.77378497407313,1.39398429324592,1.33177597598182,1.36062032732345,1.42062217851725,1.19554494277098,1.71502099602405,1.47458379269889,1.46056384732227,1.30289151425662,1.21536213933021,1.28928080044542,1.4041474448202,1.25121560527718,1.53093533893102,1.47096139885334,1.39447402286228,1.4427232386894,1.21884612924237,1.29796240336309,0.969953316763916,0.876867048789893
"MYCN",1.28363547087368,1.38499075839284,1.88535758551813,1.38035432009235,1.45241392793874,1.62285742261846,1.38980032178927,1.31439965201357,1.21706961239692,1.45153165491714,1.54884802607555,1.19105928110881,1.25773820468136,1.52334074749944,1.59531170699089,1.64655163032293,1.45052613199522,1.63214625232088,1.54046093422319,1.46544598571423,1.51779852164743,1.28426508865485,1.47355048401236,1.47873242273527,1.42807692052453,1.377769240226,1.4422702210919,1.664720615457,1.32089797031786,1.37529433068715,1.51028697458973,1.60132767038186,1.50566237209277,1.51996555550045,1.38477340360185,1.52910539149051,1.73649113339743,1.38837418153605,1.39973780540994,1.78059186688546,1.25979663127662,1.48533312530867,1.291201770803,1.42225440977813,1.49706500046002,1.53937066571012,1.55199095067294,1.50464119397303,1.06621610735081,1.53173552664859,1.33232847727833,1.54192872713095,1.95194215185668,1.49632066263367,1.43164621532117,1.74070394980289,1.49715216758676,-0.0945511400057929,1.48789370262588,1.48642919559418,1.57702993502195
"MYF5",0.0126004491459755,-0.485719791867131,0.154436956931198,-0.395169217240063,-0.356242893847839,-0.370189704680452,-0.35217768118138,-0.162935993571249,-0.0129562109196374,-0.29182802769476,-0.495096774086981,-0.536091756216004,-0.47803071622538,-0.0513429815112002,-0.00177199403611345,-0.400312249537161,-0.0471359195581477,0.0683750879792429,-0.296608771782264,-0.0967438800293946,0.0559445471084484,-0.225154548992054,-0.209704819486835,0.0993996817448928,-0.349175816192177,0.0168733491190018,-0.0157116835360417,0.0290970197281117,0.17671007224435,0.192386585724098,-0.38591346256435,-0.113600027410108,-0.0586306888511135,-0.0660761769950174,0.208336191892216,0.49393288005366,0.177026511416076,0.337710899303361,0.0331426476876469,-0.0216219218890459,0.226369275380198,-0.46933696141803,-0.117782301363895,-0.258385443462665,0.244040325253361,0.220604840097378,-0.563701423866566,-0.112451187386634,-0.430878299338691,0.328487075001004,-0.596542000716241,-0.279849340923109,-0.0367815915725506,0.170065296714219,-0.231556639701016,-0.531806197050264,0.215109185245134,-0.129225120705648,-0.380830347909993,0.238104453296636,-0.459644133574826
