"gene_name","A31338","A31372","A31360","A31387","A30212","A33903","A31406","A31388","A31288","A31390","A30231","A31428","A31432","A31467","A31459"
"APEX1",2.07049659580616,1.53768470013254,1.33034908702615,1.28540556464164,1.84327472536126,1.95565622152407,1.57398982978348,1.44098134771094,0.805241325585294,1.76110948869967,1.4600204746748,1.4224353519002,1.6277320881562,1.5771821084354,1.64744455258289
"AR",0.946201677104348,1.87875085925922,1.3117705321402,1.61068896808678,1.64006471185144,1.05998093610155,1.12287806756647,2.11054148665239,1.13235482801773,2.08502596894222,1.24251655998789,1.53223975593723,2.14809826090951,1.52088440467254,1.97458211380401
"ATF1",2.62273159550997,1.51613477839923,1.7840280106329,1.33052047927407,1.89568709146135,1.85516876296837,2.04161504466295,1.61261782093816,2.05320307415401,1.92477137584479,2.15508804607128,1.60352484269745,1.48012546889871,1.6264905549503,2.40888888537326
"ATF5",1.11716023481217,0.516950912585885,1.65833080023517,0.87320234784962,1.28859576679251,1.69287804652207,0.670986588018946,1.82256978308202,1.81874344025052,1.55349147686151,1.69175693051136,0.500965246866464,1.76860632347909,0.641740033818976,1.34592065973339
"ATF6",1.089495488468,1.87645818666939,0.468697641744623,0.568122791011523,0.89338769331627,1.21120098118383,2.57062816007584,0.477934814228528,1.95466194994824,0.53383323958031,2.62116134504376,1.87642871615507,1.03112309491165,2.77129672868867,0.592001108919184
"ATOH1",-3.27435456241766,-2.76288063116738,-2.66272101557934,-2.53552223880253,-2.34017092289935,-2.70032788098855,-2.66445178606831,-2.17840196836736,-2.22652524120845,-2.46949771020354,-2.46390370436786,-2.97972179312495,-2.67411685266823,-2.6446271722812,-2.65163394035571
"CDX2",-3.02692618688416,-2.25926327875296,-2.24735138432055,-2.35535984505458,-2.37592550257665,-2.36295992483057,-2.40979400567894,-1.83647487199991,-2.46752882596138,-1.64131503931623,-2.68453452040523,-2.54567814818331,-2.61749890060666,-2.67548442441234,-1.74659923032978
"CEBPE",0.882555645358333,1.5881180806744,2.39069456131576,1.28252714902471,3.09985769976621,0.917623471411133,0.970070549094058,0.625752948202765,2.26634650513381,1.67125806344999,1.4358216633886,0.772207045027987,1.25534133354924,-0.00897970307834149,1.75197638049736
"CTNNB1",-1.34860565487368,-2.42403289824023,-2.47120095029874,-0.490478104146349,-0.658193584474858,-3.37090981663432,-1.00439607953,-0.457226979425191,-0.685011974772542,-1.82731392658086,-3.22125818530809,-2.52666201125503,-2.61376173760409,-2.18494411705352,-0.903208274927548
"DDIT3",1.50526562341897,0.6910647545923,2.42780435066794,0.713015301342645,1.57116972969493,2.57834990928433,0.843395977711436,1.6910819352511,0.649871747624192,1.52133122427857,0.999361499335688,2.24923430629828,0.596985361922473,0.532840245142435,1.45415946422633
"DLX2",-3.05060592064026,-2.44746790173449,-2.28573432372846,-2.03849235072589,-2.66301814957606,-2.69310383133228,-2.63686283171857,-2.31050188104055,-2.4589188006287,-2.40951597696855,-2.09988169339812,-3.10075627060575,-3.02056753585192,-2.63031368636589,-2.36984059627203
"DLX3",-2.12290905611798,-2.00760738204455,-1.93565676131416,-1.89833612093624,-1.04523368106462,-1.9060685205394,-1.72946547407162,-1.83045735095334,-1.7960957130304,-2.48102962020537,-1.67627649302153,-1.6193902303013,-2.20690825087714,-1.36173866153229,-1.92852565215644
"DLX5",-3.91456597100758,-3.12922501910231,-2.69155643317415,-2.62359135884895,-3.09648630577817,-3.10212020066716,-3.39821877512052,-3.1689827408102,-3.03546836343632,-2.93949100978112,-2.58950452721665,-2.48210219227719,-3.50779877789747,-2.78196899044135,-3.27786589820474
"E2F1",3.1842145571023,3.53733383071156,3.54234575349839,0.740993430782723,2.88529248884842,2.81564432715139,2.62116272768834,3.22123470785889,2.53607015110482,3.99602403681292,4.47199489207209,3.12574356707263,2.91425113753499,3.68977884625147,3.22624826598807
"E2F4",4.10312064748577,5.13779347684519,2.7143639902979,3.36899722016853,4.31179710031387,4.86742806296359,4.19111612212731,4.51751991688427,4.69441568895447,4.46623777632584,5.23038478513612,4.93620958008832,1.26629437403682,4.68128773320108,4.61893039165656
"ELF1",2.06381534262581,0.943613028616388,1.87801421970848,0.614413897076054,1.66246760401855,1.48553646717342,2.82467803390488,1.1168149064519,1.39723822411538,1.21834707008427,1.22980103979337,1.88689006165522,0.985842042007595,1.23534236957536,1.40670950414107
"ESR1",0.705126245203882,1.64587877741999,1.5485979761678,0.640186122504707,0.492322596052647,1.37585209880152,1.87616630114313,1.85133165210902,0.558878218265122,0.534872492531681,1.9003773009424,1.43300428184385,1.88876025314286,0.460887570299147,1.89244417692895
"ETS1",1.25765655959347,0.423471352102075,1.75168189711425,1.7030217176023,1.04837357946575,2.03419830032424,1.09152481138958,0.586193244009204,1.68296692332414,0.734622976101234,1.81200445742835,2.02883628516629,0.641393479723821,0.719928993985329,1.27043154262769
"FOXA1",-2.40741819984622,-2.3757279770347,-2.67703281816348,-1.85429864060806,-1.81866093263639,-2.13652800190253,-1.97764400340643,-2.52678826359742,-1.63736574513942,-1.90745657876531,-1.38921533744803,-2.28854524586073,-2.75493549718714,-2.42337249990566,-1.88003732363413
"FOXA2",-2.38881685519987,-2.76784896130264,-3.22037964695903,-2.4057536120813,-2.56521331692047,-2.60430051062256,-2.50856551692955,-2.07817337773665,-2.97361525656786,-1.95174926338937,-2.888647806847,-3.04578787057357,-2.46875232274185,-2.57528165544049,-2.95740219007689
